ts,date,jcd,rno,combo,odds
2026-09-20 13:01:52,20260920,2,6,4-2-5,89.7
2026-09-20 13:01:52,20260920,2,6,4-2-6,264.8
2026-09-20 13:01:52,20260920,2,6,4-3-1,211.9
2026-09-20 13:01:52,20260920,2,6,4-3-2,98.1
2026-09-20 13:01:52,20260920,2,6,4-3-5,125.5
2026-09-20 13:01:52,20260920,2,6,4-3-6,291.0
2026-09-20 13:01:52,20260920,2,6,4-5-1,149.6
2026-09-20 13:01:52,20260920,2,6,4-5-2,84.0
2026-09-20 13:01:52,20260920,2,6,4-5-3,91.6
2026-09-20 13:01:52,20260920,2,6,4-5-6,182.6
2026-09-20 13:01:52,20260920,2,6,4-6-1,616.0
2026-09-20 13:01:52,20260920,2,6,4-6-2,473.0
2026-09-20 13:01:52,20260920,2,6,4-6-3,464.7
2026-09-20 13:01:52,20260920,2,6,4-6-5,499.7
2026-09-20 13:01:52,20260920,2,6,5-1-2,83.2
2026-09-20 13:01:52,20260920,2,6,5-1-3,101.1
2026-09-20 13:01:52,20260920,2,6,5-1-4,243.0
2026-09-20 13:01:52,20260920,2,6,5-1-6,234.4
2026-09-20 13:01:52,20260920,2,6,5-2-1,54.8
2026-09-20 13:01:52,20260920,2,6,5-2-3,20.4
2026-09-20 13:01:52,20260920,2,6,5-2-4,66.2
2026-09-20 13:01:52,20260920,2,6,5-2-6,161.5
2026-09-20 13:01:52,20260920,2,6,5-3-1,78.8
