ts,date,jcd,rno,combo,P,rank,payout,stake,status,ret,hit,actual
2026-08-17 23:48:48,20260817,24,6,1-6,0.2226,2,0,1000.0,settled,0.0,0,1-2
2026-08-18 23:55:59,20260818,5,5,1-2,0.2456,2,0,1000.0,settled,0.0,0,1-6
2026-08-18 23:55:59,20260818,5,5,2-1,0.2537,1,0,1000.0,settled,0.0,0,1-6
2026-08-18 23:55:59,20260818,5,6,1-3,0.3204,1,0,1000.0,settled,0.0,0,5-1
2026-08-18 23:55:59,20260818,5,6,3-1,0.1645,2,0,1000.0,settled,0.0,0,5-1
2026-08-18 23:55:59,20260818,5,9,1-2,0.2073,2,200.0,1000.0,settled,2000.0,1,1-2
2026-08-18 23:55:59,20260818,5,9,1-3,0.3835,1,0,1000.0,settled,0.0,0,1-2
2026-08-18 23:55:59,20260818,5,10,1-2,0.3317,1,210.0,1000.0,settled,2100.0,1,1-2
2026-08-18 23:55:59,20260818,5,10,1-3,0.2001,2,0,1000.0,settled,0.0,0,1-2
2026-08-18 23:55:59,20260818,5,11,1-2,0.3019,1,0,1000.0,settled,0.0,0,1-3
2026-08-18 23:55:59,20260818,5,11,1-3,0.278,2,410.0,1000.0,settled,4100.0,1,1-3
2026-08-18 23:55:59,20260818,5,12,1-2,0.3385,1,0,1000.0,settled,0.0,0,1-4
2026-08-18 23:55:59,20260818,5,12,1-4,0.1458,2,490.0,1000.0,settled,4900.0,1,1-4
2026-08-18 23:55:59,20260818,12,11,1-2,0.3936,1,190.0,1000.0,settled,1900.0,1,1-2
2026-08-18 23:55:59,20260818,12,11,2-1,0.1848,2,0,1000.0,settled,0.0,0,1-2
2026-08-18 23:55:59,20260818,16,5,1-4,0.2884,1,0,1000.0,settled,0.0,0,4-1
2026-08-18 23:55:59,20260818,16,5,1-5,0.1933,2,0,1000.0,settled,0.0,0,4-1
2026-08-18 23:55:59,20260818,16,6,1-3,0.4075,1,0,1000.0,settled,0.0,0,3-1
2026-08-18 23:55:59,20260818,16,6,3-1,0.1505,2,630.0,1000.0,settled,6300.0,1,3-1
2026-08-18 23:55:59,20260818,16,9,1-4,0.2982,1,0,1000.0,settled,0.0,0,3-1
2026-08-18 23:55:59,20260818,16,9,4-1,0.2486,2,0,1000.0,settled,0.0,0,3-1
2026-08-18 23:55:59,20260818,16,10,1-4,0.3019,1,0,1000.0,settled,0.0,0,4-1
2026-08-18 23:55:59,20260818,16,10,4-1,0.1837,2,580.0,1000.0,settled,5800.0,1,4-1
2026-08-19 23:56:35,20260819,5,4,1-2,0.2916,1,0,1000.0,settled,0.0,0,2-1
2026-08-19 23:56:35,20260819,5,4,2-1,0.1892,2,850.0,1000.0,settled,8500.0,1,2-1
2026-08-19 23:56:35,20260819,5,9,1-3,0.3525,1,0,1000.0,settled,0.0,0,4-2
2026-08-19 23:56:35,20260819,5,9,3-1,0.1678,2,0,1000.0,settled,0.0,0,4-2
2026-08-19 23:56:35,20260819,5,12,1-2,0.2612,1,180.0,1000.0,settled,1800.0,1,1-2
2026-08-19 23:56:35,20260819,5,12,1-3,0.2266,2,0,1000.0,settled,0.0,0,1-2
2026-08-19 23:56:35,20260819,16,5,1-4,0.3447,1,0,1000.0,settled,0.0,0,4-5
