ts,date,jcd,rno,combo,p,odds,kaijin,ev,stake,status,win_combo,hit,payout,ret
2026-08-21 13:06:25,20260820,2,10,1-4-6,5.0,23.3,116.6,1.165,100.0,settled,6-5-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,10,1-6-2,2.23,61.1,136.14,1.363,100.0,settled,6-5-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,10,1-6-4,2.6,49.9,129.6,1.297,100.0,settled,6-5-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,11,1-3-2,9.99,20.1,200.87,2.008,100.0,settled,4-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,11,1-3-4,6.87,46.0,316.16,3.16,100.0,settled,4-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,11,1-3-5,4.05,31.3,126.77,1.268,100.0,settled,4-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,11,1-4-2,3.36,40.5,136.14,1.361,100.0,settled,4-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,11,1-4-3,4.14,80.4,332.82,3.329,100.0,settled,4-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,11,1-4-5,2.16,71.8,154.76,1.551,100.0,settled,4-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,12,1-2-5,3.0,38.9,116.7,1.167,100.0,settled,1-5-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,12,1-2-6,2.25,71.8,161.5,1.615,100.0,settled,1-5-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,12,1-6-2,0.71,147.3,104.21,1.046,100.0,settled,1-5-4,0,0,0.0
2026-08-21 13:06:25,20260820,4,1,1-2-6,3.14,74.6,233.92,2.342,100.0,settled,1-4-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,1,1-6-2,3.12,87.3,272.8,2.724,100.0,settled,1-4-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,1,1-6-3,2.44,48.1,117.54,1.174,100.0,settled,1-4-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,2,1-2-6,12.6,26.0,327.55,3.276,100.0,settled,2-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,2,1-6-2,7.35,45.4,333.89,3.337,100.0,settled,2-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,2,1-6-3,5.67,47.4,268.88,2.688,100.0,settled,2-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,2,1-6-5,2.88,41.2,118.84,1.187,100.0,settled,2-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,3,1-3-5,0.92,118.1,108.14,1.087,100.0,settled,1-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,4,3,1-5-2,2.57,70.3,180.85,1.807,100.0,settled,1-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,4,3,1-5-3,1.47,203.9,299.14,2.997,100.0,settled,1-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,4,3,1-5-4,0.92,118.1,108.58,1.087,100.0,settled,1-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,4,4,1-3-2,3.27,69.7,227.7,2.279,100.0,settled,2-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,4,4,1-3-5,0.46,368.7,169.68,1.696,100.0,settled,2-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,4,4,1-3-6,3.01,40.6,122.15,1.222,100.0,settled,2-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,4,4,1-5-2,0.24,800.4,194.66,1.921,100.0,settled,2-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,4,4,1-5-3,0.25,957.2,241.41,2.393,100.0,settled,2-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,4,4,1-5-6,0.43,500.0,216.85,2.15,100.0,settled,2-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,4,4,1-6-5,1.04,173.4,179.49,1.803,100.0,settled,2-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,4,5,1-4-5,1.22,150.3,183.67,1.834,100.0,settled,4-1-6,0,0,0.0
2026-08-21 13:06:25,20260820,4,5,1-5-4,0.34,378.3,127.71,1.286,100.0,settled,4-1-6,0,0,0.0
2026-08-21 13:06:25,20260820,4,6,1-2-3,3.56,59.5,211.8,2.118,100.0,settled,3-5-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,6,1-2-5,5.57,59.3,330.32,3.303,100.0,settled,3-5-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,6,1-2-6,0.77,198.9,152.44,1.532,100.0,settled,3-5-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,6,1-3-2,2.5,49.6,123.78,1.24,100.0,settled,3-5-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,6,1-5-2,5.11,50.7,259.27,2.591,100.0,settled,3-5-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,6,1-5-3,6.58,22.2,146.02,1.461,100.0,settled,3-5-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,6,1-5-6,1.62,72.6,117.29,1.176,100.0,settled,3-5-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,6,1-6-5,0.66,190.9,126.72,1.26,100.0,settled,3-5-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,8,1-4-3,3.94,26.0,102.45,1.024,100.0,settled,4-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,8,1-5-4,6.45,22.4,144.53,1.445,100.0,settled,4-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,9,1-2-5,2.1,73.9,155.43,1.552,100.0,settled,1-3-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,9,1-3-5,6.45,33.8,217.92,2.18,100.0,settled,1-3-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,9,1-4-5,1.06,152.7,162.43,1.619,100.0,settled,1-3-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,9,1-5-2,1.22,217.3,266.13,2.651,100.0,settled,1-3-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,9,1-5-3,2.68,156.3,418.85,4.189,100.0,settled,1-3-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,9,1-5-4,0.7,314.5,219.24,2.201,100.0,settled,1-3-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,9,1-5-6,0.42,263.4,110.71,1.106,100.0,settled,1-3-2,0,0,0.0
2026-08-21 13:06:25,20260820,4,10,1-4-5,1.3,96.4,125.05,1.253,100.0,settled,3-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,10,1-4-6,3.43,55.4,189.87,1.9,100.0,settled,3-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,10,1-5-4,0.78,130.4,101.52,1.017,100.0,settled,3-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,10,1-6-4,2.43,80.1,194.6,1.946,100.0,settled,3-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,10,1-6-5,1.46,71.1,103.56,1.038,100.0,settled,3-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,11,1-5-6,1.67,74.6,124.93,1.246,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,4,11,1-6-5,1.35,114.4,154.17,1.544,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,4,12,1-5-2,5.8,29.5,171.07,1.711,100.0,settled,1-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,12,1-5-3,3.84,43.7,167.77,1.678,100.0,settled,1-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,12,1-5-4,2.27,65.2,148.09,1.48,100.0,settled,1-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,4,12,1-5-6,2.02,58.3,117.82,1.178,100.0,settled,1-2-5,0,0,0.0
2026-08-21 13:06:25,20260820,5,1,1-3-2,4.7,37.7,177.07,1.772,100.0,settled,2-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,1,1-3-5,2.74,84.8,232.0,2.324,100.0,settled,2-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,1,1-3-6,2.43,160.7,390.08,3.905,100.0,settled,2-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,1,1-5-3,2.26,144.7,327.15,3.27,100.0,settled,2-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,1,1-5-6,1.92,119.4,228.97,2.292,100.0,settled,2-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,1,1-6-3,0.91,355.2,321.7,3.232,100.0,settled,2-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,1,1-6-4,0.53,310.5,163.73,1.646,100.0,settled,2-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,1,1-6-5,0.98,194.9,191.22,1.91,100.0,settled,2-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,5,2,1-2-5,1.74,63.7,111.05,1.108,100.0,settled,6-1-4,0,0,0.0
2026-08-21 13:06:25,20260820,5,3,1-5-3,1.43,116.9,167.68,1.672,100.0,settled,1-4-2,0,0,0.0
2026-08-21 13:06:25,20260820,5,3,1-5-4,2.77,80.0,221.87,2.216,100.0,settled,1-4-2,0,0,0.0
2026-08-21 13:06:25,20260820,5,4,1-2-5,4.99,30.8,153.58,1.537,100.0,settled,1-2-3,0,0,0.0
